iter	Passed	Remaining
399	33793	8448
400	33889	8366
401	33971	8281
402	34054	8196
403	34133	8111
404	34221	8027
405	34301	7941
406	34383	7856
407	34470	7772
408	34549	7687
409	34637	7603
410	34717	7517
411	34801	7433
412	34882	7348
413	34963	7263
414	35044	7177
415	35124	7092
416	35203	7006
417	35284	6921
418	35364	6836
419	35453	6753
420	35531	6667
421	35608	6581
422	35688	6496
423	35769	6411
424	35850	6326
425	35929	6241
426	36009	6156
427	36094	6071
428	36171	5986
429	36250	5901
430	36331	5816
431	36412	5731
432	36499	5647
433	36576	5562
434	36653	5476
435	36739	5392
436	36816	5307
437	36899	5223
438	36977	5138
439	37060	5053
440	37140	4968
441	37219	4884
442	37302	4799
443	37386	4715
444	37467	4630
445	37547	4546
446	37623	4460
447	37710	4377
448	37787	4292
449	37867	4207
450	37953	4123
451	38043	4039
452	38123	3955
453	38203	3870
454	38281	3786
455	38364	3701
456	38440	3616
457	38526	3532
458	38604	3448
459	38687	3364
460	38767	3279
461	38845	3195
462	38923	3110
463	39008	3026
464	39089	2942
465	39169	2857
466	39246	2773
467	39328	2689
468	39409	2604
469	39490	2520
470	39574	2436
471	39656	2352
472	39733	2268
473	39814	2183
474	39892	2099
475	39981	2015
476	40058	1931
477	40140	1847
478	40222	1763
479	40304	1679
480	40385	1595
481	40463	1511
482	40543	1427
483	40625	1343
484	40702	1258
485	40785	1174
486	40864	1090
487	40945	1006
488	41027	922
489	41112	839
490	41200	755
491	41278	671
492	41355	587
493	41436	503
494	41514	419
495	41599	335
496	41695	251
497	41779	167
498	41860	83
499	41941	0
